feature,fill_value_if_null,standardize_mean,standardize_std,coef_on_standardized_feature,gee_raw_coef
NDVI_mean_Apr_to_Jun,0.4824786753391153,0.4751127304900673,0.10166616475289433,2.9656438307649937,29.17041119799461
NDVI_m01_Apr,0.4769636175068085,0.45608882397060635,0.14698832728922606,-2.784835541833562,-18.94596389517309
total_precipitation_sum_std_Apr_to_Jun,0.09752669968711293,0.10349899897022766,0.06169281645081787,-1.1619004793901102,-18.833642978780016
total_precipitation_sum_m03_Jun,0.298464678204654,0.3103258194719429,0.10320913257284584,1.7626166592238977,17.07810748220201
total_precipitation_sum_mean_Apr_to_Jun,0.23817058051601628,0.2563558952458102,0.10824845100596958,-1.581438497954817,-14.609340671928926
NDVI_m02_May,0.496268282613178,0.48857161443371794,0.12139754929408986,-1.6139487757908162,-13.294739351623715
NDVI_NDVI_trend_Apr_to_Jun,0.0020550427402130644,0.03469989084699447,0.17600476661396558,-1.460359309095769,-8.29727135912632
total_precipitation_sum_min_Apr_to_Jun,0.153780443311193,0.17590075526952115,0.10581397689085163,0.847902493035338,8.013142667437586
NDVI_std_Apr_to_Jun,0.09753342218057681,0.10883888428154102,0.06840682988307499,-0.3020639737101167,-4.415699049735565
NDVI_m03_Jun,0.481085416943396,0.4835272805598714,0.11069808694731781,-0.48609641394015835,-4.391190736399048
total_precipitation_sum_total_precipitation_sum_trend_Apr_to_Jun,0.1164966263392868,0.11874156422758811,0.14997247133342909,-0.6500663341828745,-4.334571060962265
NDVI_max_Apr_to_Jun,0.574645719180664,0.5596924696656866,0.10832408098926458,0.37429215630504903,3.4552996239325875
total_precipitation_sum_max_Apr_to_Jun,0.319579202185889,0.34069685037460423,0.14024160856455162,0.4196701502807556,2.9924795827451325
total_precipitation_sum_m02_May,0.240939352564353,0.25001242662170975,0.09198834007982999,0.2730495075679812,2.9683056279852575
total_precipitation_sum_m01_Apr,0.15049176455104601,0.18621886688192107,0.13674166957933814,0.28220748486826824,2.0638001988452404
NDVI_last_Apr_to_Jun,0.49086790556944,0.4887270640781972,0.1296675811636278,0.228917822445449,1.7654206270461472
total_precipitation_sum_sum_Apr_to_Jun,0.618366270098183,0.6280399921562688,0.24232722306964372,-0.31570781568188755,-1.3028161330068748
total_precipitation_sum_last_Apr_to_Jun,0.302841968915491,0.31584741818662876,0.1269057366462839,0.1584752476575213,1.2487634668496432
temperature_2m_std_Apr_to_Jun,2.600739090075327,2.570413897036541,1.3873594573439874,-1.6500579735472698,-1.1893514437175512
NDVI_min_Apr_to_Jun,0.399736887498115,0.3852401088204479,0.13399507286134826,-0.13711426912180336,-1.0232784399743018
observed_month_count,3.0,2.5285996055226825,0.6622168640181119,0.363694545935772,0.5492076171678781
temperature_2m_min_Apr_to_Jun,294.510657328409,294.5192943511905,2.6080632788853846,-1.2625611821709497,-0.48409913685473693
temperature_2m_m03_Jun,299.816423867402,299.66946962919417,1.216975595930322,0.3467967146214319,0.2849660385805204
temperature_2m_mean_Apr_to_Jun,297.03771510925134,296.83998859676666,1.9760746003442415,0.5000921825760161,0.25307353400974725
temperature_2m_m02_May,297.662237690175,297.58272901875813,1.8966993204073548,0.45031287565422184,0.2374192212804231
temperature_2m_temperature_2m_trend_Apr_to_Jun,4.647997993025967,4.155226166004858,2.912570365997521,0.39367067968535396,0.13516263307531334
temperature_2m_max_Apr_to_Jun,299.030819541672,298.7156711175452,2.231518821598358,-0.14360267630441392,-0.06435198973654921
temperature_2m_last_Apr_to_Jun,298.992631116549,298.7059058310564,2.2317358398189233,-0.11625228283120292,-0.052090521089913265
temperature_2m_m01_Apr,294.10240285921054,294.11105673924834,2.2765488902794675,0.019962250058255027,0.008768645445521039
