Longitude,Latitude,class
109.1894592,24.78878569,10
109.189549,24.78878569,10
108.8769353,24.55019315,10
108.9240969,24.50509772,10
108.8734319,24.50006715,10
108.8733421,24.49997732,10
108.8734319,24.49997732,10
108.9304749,24.48910771,10
108.886727,24.44086818,10
108.8868168,24.44086818,10
108.8865473,24.44050885,10
108.8866371,24.44050885,10
108.886727,24.44050885,10
108.886727,24.44041902,10
108.8868168,24.44041902,10
108.8869066,24.44041902,10
108.8842117,24.4378139,10
108.8842117,24.43772407,10
108.5256941,24.3320822,10
108.5607283,24.31627185,10
108.5607283,24.31618202,10
108.5225499,24.3084565,10
108.6668194,24.0998677,10
108.6669092,24.0998677,10
108.666999,24.0998677,10
108.6670889,24.0998677,10
108.6668194,24.09977786,10
108.6669092,24.09977786,10
108.666999,24.09977786,10
108.666999,24.09968803,10
108.666999,24.0995982,10
108.6453496,24.01937865,10
108.6454395,24.01928881,10
108.6454395,24.01919898,10
108.6453496,24.01857016,10
109.2264698,24.00716156,10
108.429215,23.99799874,10
108.429215,23.99790891,10
109.2695889,23.98263755,10
109.4168228,23.9551491,10
109.2858484,23.95505927,10
109.2851298,23.95469995,10
109.2852196,23.95469995,10
109.3153132,23.93071493,10
109.3153132,23.9306251,10
109.3153132,23.93053526,10
109.3153132,23.93044543,10
109.0590238,23.88463135,10
109.0588442,23.88454152,10
109.058934,23.88454152,10
109.0590238,23.88454152,10
109.0587543,23.88445169,10
109.0588442,23.88445169,10
109.058934,23.88445169,10
109.0590238,23.88445169,10
109.094148,23.86729387,10
109.0942378,23.86729387,10
109.0824699,23.86657522,10
109.0877699,23.86585656,10
109.0877699,23.86576673,10
109.0878598,23.86576673,10
109.0675578,23.86495825,10
109.0671985,23.86459892,10
109.0671985,23.86450909,10
109.0654019,23.85893954,10
109.0693545,23.85552594,10
109.069085,23.85543611,10
109.0691748,23.85543611,10
109.0702528,23.85453779,10
109.0989989,23.85444796,10
109.0990887,23.85444796,10
109.0989989,23.85435813,10
109.0990887,23.85435813,10
109.0985497,23.85390897,10
109.0985497,23.85381914,10
109.1105871,23.85013605,10
109.0565984,23.85004621,10
109.1105871,23.85004621,10
109.0681867,23.84923773,10
109.0964836,23.84815975,10
109.0881293,23.8377393,10
109.0963039,23.83270873,10
109.2669838,23.82660019,10
109.1249602,23.82130013,10
109.12505,23.82130013,10
109.1251398,23.82130013,10
109.1063651,23.81644922,10
109.1307094,23.81420343,10
109.1306196,23.8141136,10
109.1307094,23.8141136,10
109.1077125,23.81141866,10
109.1078024,23.81141866,10
108.8201618,23.81132883,10
108.8202516,23.81132883,10
109.1071735,23.81123899,10
109.1125634,23.80791523,10
109.1155279,23.80665759,10
109.1779608,23.80539994,10
109.1779608,23.80531011,10
109.1103176,23.80081854,10
109.1103176,23.80072871,10
108.8341755,23.79677612,10
108.8342654,23.79677612,10
108.8341755,23.79668629,10
108.8342654,23.79668629,10
108.833367,23.79632696,10
109.1115753,23.79533881,10
108.8718149,23.79228454,10
108.8719048,23.79228454,10
108.8718149,23.79219471,10
108.8719048,23.79219471,10
108.8718149,23.79210488,10
108.8807083,23.79156589,10
108.8807981,23.79156589,10
108.8777438,23.78914044,10
108.8775642,23.78896078,10
108.8884338,23.78725398,10
108.8883439,23.78716414,10
108.8501655,23.78473869,10
108.8502554,23.78473869,10
108.8503452,23.78473869,10
108.8501655,23.78464886,10
108.8502554,23.78464886,10
108.8503452,23.78464886,10
108.8498062,23.78455903,10
108.849896,23.78455903,10
108.8499859,23.78455903,10
108.8500757,23.78455903,10
108.8501655,23.78455903,10
108.8498062,23.7844692,10
108.8501655,23.7844692,10
109.0880394,23.78213358,10
109.0881293,23.78213358,10
109.0882191,23.78213358,10
109.0883089,23.78213358,10
109.0883987,23.78213358,10
109.0880394,23.78204375,10
109.0881293,23.78204375,10
109.0882191,23.78204375,10
109.0934293,23.78123526,10
109.0935191,23.78123526,10
109.093609,23.78123526,10
109.0936988,23.78123526,10
109.0934293,23.78114543,10
109.0935191,23.78114543,10
109.093609,23.78114543,10
109.1156177,23.77898948,10
109.1156177,23.77889964,10
109.1075329,23.77674369,10
108.9028966,23.77494706,10
